trials1.thisTrialN,trials1.stepSize,trials1.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,trials1.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
155,0.5,1.5,186.4004273,186.8999907,186.8839333,186.8839333,187.183523,right,1.5,0,0,0.3729144,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
156,0.5,2,187.2832003,187.7832392,187.7671092,187.7671092,188.0678538,left,-2,1,1,0.5929809,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
157,0.5,2,188.3833031,188.8835569,188.8663229,188.8663229,189.1666248,left,-2,1,1,0.462092,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
158,0.5,2,189.3495912,189.8497841,189.8334154,189.8334154,190.1334232,right,2,1,1,0.5808816,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
159,0.5,1.5,190.4330298,190.9331217,190.9331217,190.9331217,191.2328558,left,-1.5,1,1,0.3283685,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
160,0.5,1.5,191.282724,191.7826297,191.7826297,191.7826297,192.0826114,right,1.5,1,1,0.4352103,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
161,0.5,1.5,192.249562,192.7491354,192.7491354,192.7491354,193.0495507,right,1.5,1,1,0.4767491,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
162,0.5,1,193.2496131,193.7489752,193.7322641,193.7322641,194.0323681,left,-1,1,1,0.3726546,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
163,0.5,1,194.1324032,194.6322068,194.615391,194.615391,194.9155736,right,1,1,1,0.4025768,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
164,0.5,1,195.0492299,195.5493676,195.5493676,195.5493676,195.8493333,left,-1,1,1,0.3397263,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
165,0.5,1,195.9155055,196.415678,196.3990427,196.3990427,196.699044,right,1,1,1,0.3426584,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
166,0.5,1,196.7659168,197.265791,197.265791,197.265791,197.5655681,left,-1,1,1,0.3671733,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
167,0.5,1,197.6486803,198.1484922,198.1484922,198.1484922,198.4484223,right,1,1,1,0.4618384,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
168,0.5,1,198.6317162,199.1321307,199.1153402,199.1153402,199.4149559,left,-1,1,1,0.3661622,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
169,0.5,1,199.4984855,199.9983079,199.9983079,199.9983079,200.2988778,right,1,1,1,0.3604178,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
170,0.5,1,200.3818793,200.8812988,200.8812988,200.8812988,201.1814234,right,1,0,0,0.3653394,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
171,0.5,1.5,201.2648113,201.7656008,201.7656008,201.7656008,202.0810962,left,-1.5,0,0,0.3823095,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
172,0.5,2,202.1653069,202.664608,202.664608,202.664608,202.9646135,left,-2,1,1,0.5302944,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
173,0.5,2,203.2145824,203.7145425,203.7145425,203.7145425,204.0143096,left,-2,1,1,0.4737011,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
174,0.5,2,204.2153028,204.7143622,204.6977215,204.6977215,204.9976588,right,2,1,1,0.4069017,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
175,0.5,1.5,205.1312292,205.6311334,205.6143538,205.6143538,205.9138881,right,1.5,1,1,0.463112,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
176,0.5,1.5,206.097432,206.5975074,206.5806905,206.5806905,206.8808913,right,1.5,1,1,0.4442687,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
177,0.5,1.5,207.0473299,207.5475142,207.5307079,207.5307079,207.830386,left,-1.5,1,1,0.4131438,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
178,0.5,1,207.9636812,208.4638923,208.4638923,208.4638923,208.7640239,right,1,0,0,0.6215626,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
179,0.5,1.5,209.1139538,209.6138371,209.5972138,209.5972138,209.8969687,left,-1.5,1,1,0.4320812,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
180,0.5,1.5,210.0470407,210.5474037,210.5305402,210.5305402,210.8316354,right,1.5,0,0,0.4412164,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
181,0.5,2,210.997549,211.4966803,211.4966803,211.4966803,211.7968203,right,2,1,1,0.4623013,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
182,0.5,2,211.9799442,212.4800529,212.4800529,212.4800529,212.7801149,right,2,1,1,0.4908958,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
183,0.5,2,212.9965635,213.4964159,213.4798559,213.4798559,213.7799127,left,-2,1,1,0.4621943,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
184,0.5,1.5,213.9630937,214.4630456,214.4630456,214.4630456,214.7629782,left,-1.5,1,1,0.5015515,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
185,0.5,1.5,214.9964664,215.496545,215.479797,215.479797,215.7796795,left,-1.5,1,1,0.4877857,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
186,0.5,1.5,215.996451,216.4964059,216.4964059,216.4964059,216.7959898,left,-1.5,1,1,0.4748958,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
187,0.5,1,216.9959442,217.4960868,217.4792826,217.4792826,217.779213,left,-1,1,1,0.4015688,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
188,0.5,1,217.9125961,218.4129197,218.3959527,218.3959527,218.6957991,right,1,0,0,0.3073828,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
189,0.5,1.5,218.7292885,219.2289333,219.2125008,219.2125008,219.5127566,right,1.5,1,1,0.4837834,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
190,0.5,1.5,219.7291593,220.2293889,220.2121836,220.2121836,220.5121508,right,1.5,1,1,0.5603772,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
191,0.5,1.5,220.7958814,221.2955277,221.2955277,221.2955277,221.5956707,left,-1.5,1,1,0.4956323,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
192,0.5,1,221.8117355,222.3149721,222.2985143,222.2985143,222.5983603,right,1,1,1,0.4536124,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
193,0.5,1,222.7644307,223.2686369,223.2686369,223.2686369,223.5804436,left,-1,1,1,0.6969048,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
194,0.5,1,223.9961207,224.4959211,224.4959211,224.4959211,224.7963386,left,-1,1,1,1.3040649,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
195,0.5,1,225.8291163,226.3293073,226.3127225,226.3127225,226.6127798,right,1,1,1,0.7150776,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
196,0.5,1,227.0462058,227.5459424,227.5285884,227.5285884,227.8289241,left,-1,1,1,0.5972099,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
197,0.5,1,228.1462755,228.6463357,228.6463357,228.6463357,228.9614655,left,-1,1,1,0.4768984,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
198,0.5,1,229.1448492,229.6446166,229.6446166,229.6446166,229.9461845,left,-1,1,1,0.3804356,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
199,0.5,1,230.0452534,230.5441973,230.5441973,230.5441973,230.8446151,left,-1,1,1,0.3682308,997442,1,2023-09-02_20h03.43.554,adaptive_staircase,2023.1.3,60.31494049
