Ran RT,Seq RT,,Avg Ran RT,Avg Seq RT,Difference of Average Random and Sequential RT's
0.6958562,0.2005253,,,,
0.3213369,0.2866189,,,,
0.3692487,0.2515474,,,,
0.3976488,0.3568888,,,,
0.3228946,0.286777,,,,
0.3358846,0.2680057,,,,
0.4220678,0.315968,,,,
0.3999069,0.1753399,,,,
0.4037905,0.4742896,,,,
0.3684044,0.0304471,,,,
0.4015041,0.1086081,,,,
0.3855563,0.3730012,,,,
0.3720132,0.2497477,,,,
0.4014719,0.212197,,,,
0.4015876,0.1414639,,,,
0.290568,0.2770769,,,,
0.372759,0.1753348,,,,
0.427936,0.1443571,,,,
,0.0290367,,,,
,0.0323045,,,,
,0.1619381,,,,
,0.041004,,,,
,0.1571753,,,,
,0.1718799,,,,
,0.1601878,,,,
,0.1492425,,,,
,0.0157191,,,,
,0.0896098,,,,
,0.0555316,,,,
,0.1647021,,,,
,0.0683113,,,,
